SERVICENO,OPERATOR,DIRECTION,STOPSEQUENCE,BUSSTOPCODE,DISTANCE,WD_FIRSTBUS,WD_LASTBUS,SAT_FIRSTBUS,SAT_LASTBUS,SUN_FIRSTBUS,SUN_LASTBUS,ROUTENAME
10,SBST,1,1,75009,0,500,2300,500,2300,500,2300,10 Tampines - Kent Ridge
10,SBST,1,2,76059,0.6,502,2302,502,2302,502,2302,10 Tampines - Kent Ridge
10,SBST,1,3,76069,1.1,504,2304,504,2304,503,2304,10 Tampines - Kent Ridge
10,SBST,1,4,96289,2.3,508,2308,508,2309,507,2308,10 Tampines - Kent Ridge
10,SBST,1,5,96109,2.7,509,2310,509,2311,508,2309,10 Tampines - Kent Ridge
10,SBST,1,6,85079,3.3,511,2312,511,2313,510,2311,10 Tampines - Kent Ridge
10,SBST,1,7,85089,3.5,512,2313,512,2314,511,2312,10 Tampines - Kent Ridge
10,SBST,1,8,85069,3.8,513,2314,513,2315,512,2313,10 Tampines - Kent Ridge
10,SBST,1,9,85059,4.1,514,2315,514,2316,513,2314,10 Tampines - Kent Ridge
10,SBST,1,10,85049,4.5,515,2316,515,2317,514,2315,10 Tampines - Kent Ridge
10,SBST,1,11,85039,4.8,517,2317,517,2319,516,2317,10 Tampines - Kent Ridge
10,SBST,1,12,85029,5,517,2318,517,2319,516,2317,10 Tampines - Kent Ridge
10,SBST,1,13,85019,5.2,518,2318,518,2320,517,2318,10 Tampines - Kent Ridge
10,SBST,1,14,94079,5.5,519,2319,519,2321,518,2319,10 Tampines - Kent Ridge
10,SBST,1,15,94069,6.1,520,2320,520,2322,519,2321,10 Tampines - Kent Ridge
10,SBST,1,16,94059,6.4,521,2321,521,2323,520,2322,10 Tampines - Kent Ridge
10,SBST,1,17,94049,6.8,522,2322,522,2324,521,2323,10 Tampines - Kent Ridge
10,SBST,1,18,94089,7,522,2322,522,2324,521,2323,10 Tampines - Kent Ridge
10,SBST,1,19,94039,7.3,523,2323,523,2325,522,2324,10 Tampines - Kent Ridge
10,SBST,1,20,94029,7.7,524,2324,524,2326,523,2325,10 Tampines - Kent Ridge
10,SBST,1,21,94019,7.9,525,2325,525,2326,524,2326,10 Tampines - Kent Ridge
