LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.296848255,103.8525359,1012,30138.7199,31024.4179,Hotel Grand Pacific Victoria St
1.297709706,103.8532247,1013,30215.3799,31119.6733,St. Joseph`s Ch Victoria St
1.296989512,103.853022,1019,30192.8179,31040.0378,Bras Basah Cplx Victoria St
1.296672985,103.8544142,1029,30347.7592,31005.0391,Opp Natl Library Nth Bridge Rd
1.298207842,103.8554914,1039,30467.6377,31174.7567,Bugis Cube Nth Bridge Rd
1.300756795,103.8561104,1059,30536.525,31456.6075,Bugis Stn Exit B Victoria St
1.303585776,103.8565037,1109,30580.2957,31769.422,Queen St Ter Queen St
1.300154944,103.8552332,1112,30438.9038,31390.057,Opp Bugis Junction Victoria St
1.301172975,103.856114,1113,30536.9259,31502.6265,Bugis Stn Exit A Victoria St
1.299604109,103.8551293,1119,30427.3426,31329.1484,Bugis Junction Victoria St
1.303938097,103.85868,1121,30822.4935,31808.3822,Stamford Pr Sch Victoria St
1.303502692,103.8586453,1129,30818.6338,31760.2373,Opp Stamford Pr Sch Victoria St
1.300330578,103.8571608,1139,30653.4258,31409.4797,Parkview Sq Nth Bridge Rd
1.305518035,103.860545,1211,31030.0446,31983.0858,Opp Blk 461 Victoria St
1.305265986,103.8607202,1219,31049.5483,31955.2157,Blk 461 Victoria St
1.303375526,103.8596309,1229,30928.3206,31746.1771,Bef Sultan Mque Nth Bridge Rd
1.30325,103.8610831,1231,31089.9334,31732.2988,Opp Textile Ctr Jln Sultan
1.302912366,103.8616182,1239,31149.4878,31694.9656,Sultan Plaza Jln Sultan
1.307091646,103.862197,1311,31213.895,32157.0897,Lavender Stn Exit B Kallang Rd
1.307574267,103.863256,1319,31331.7523,32210.4568,Lavender Stn Exit A/ICA Kallang Rd
1.304956702,103.8636303,1329,31373.4145,31921.0204,Blk 8 Nth Bridge Rd
1.307746017,103.8642627,1339,31443.7979,32229.4494,Bef Crawford Bridge Crawford St
1.306475556,103.8645253,1341,31473.017,32088.9687,Southbank Crawford St
1.305686357,103.8654399,1349,31574.812,32001.7044,Opp Blk 4 Crawford St
1.302113329,103.862956,1411,31298.3744,31606.6139,Opp St. John HQ Beach Rd
1.30202,103.8632633,1419,31332.58,31596.2945,St. John HQ Beach Rd
1.303384444,103.8648389,1421,31507.9232,31747.1698,Opp Golden Mile Cplx Beach Rd
1.303213609,103.8650158,1429,31527.6174,31728.28,Golden Mile Cplx Beach Rd
1.299198261,103.8586452,1511,30818.6248,31284.2755,Opp The Gateway Beach Rd
1.299074925,103.8589103,1519,30848.1298,31270.6379,The Gateway Beach Rd
1.300883044,103.860661,1521,31042.9632,31470.5725,Opp Plaza Parkroyal Beach Rd
1.300416677,103.8604412,1529,31018.4987,31419.0037,Plaza Parkroyal Beach Rd
1.298864654,103.8573458,1541,30674.0195,31247.3855,Bugis Stn Exit D Rochor Rd
1.300698688,103.8587312,1549,30828.1966,31450.1851,Opp Duo Residences Ophir Rd
1.301687311,103.8575292,1559,30694.4276,31559.5006,Landmark Village Hotel Ophir Rd
1.295296386,103.8553904,1611,30456.4002,30852.8228,Aft Raffles Hotel Beach Rd
1.294286941,103.8550381,1619,30417.1927,30741.2033,Esplanade Stn Exit F Beach Rd
1.296958889,103.8565561,1621,30586.132,31036.655,Opp Shaw Twrs Beach Rd
1.296959722,103.8568653,1629,30620.5395,31036.7474,Shaw Twrs Beach Rd
1.296936146,103.8558056,1631,30502.6018,31034.1394,Aft Beach Rd Middle Rd
1.2973875,103.8555758,1639,30477.0353,31084.0476,Bef Beach Rd Middle Rd
1.288790152,103.8529332,2029,30182.9388,30133.3947,Opp S`pore Cricket Club Connaught Dr
1.294520913,103.8540216,2049,30304.0605,30767.0737,Raffles Hotel Bras Basah Rd
1.289503056,103.8590339,2051,30861.8952,30212.23,The Float @ Marina Bay Raffles Ave
1.289963889,103.8564039,2061,30569.198,30263.1838,The Esplanade Raffles Ave
1.291526945,103.8592061,2089,30881.0597,30436.0214,Pan Pacific Hotel Raffles Blvd
1.291016617,103.8625577,2099,31254.0659,30379.596,Marina Ctr Ter Raffles Blvd
1.289391976,103.8618029,2101,31170.0658,30199.9507,Aft S`pore Flyer Raffles Ave
1.290955923,103.8545342,2111,30361.1161,30372.876,Esplanade Bridge Esplanade Dr
