NUMBER,NAME,LINE,TOWARDS,WD_FIRSTTRAIN,WD_LASTTRAIN,SAT_FIRSTTRAIN,SAT_LASTTRAIN,SUN_FIRSTTRAIN,SUN_LASTTRAIN
NS28,MARINA SOUTH PIER MRT STATION,North South Line,Jurong East,610,2348,610,2348,638,2348
CE2-NS27,MARINA BAY MRT STATION,North South Line,Jurong East,601,2350,601,2350,626,2350
EW14-NS26,RAFFLES PLACE MRT STATION,North South Line,Jurong East,603,2353,603,2353,628,2353
EW13-NS25,CITY HALL MRT STATION,North South Line,Jurong East,605,2355,605,2355,630,2355
CC1-NE6-NS24,DHOBY GHAUT MRT STATION,North South Line,Jurong East,607,2357,607,2357,632,2357
NS23,SOMERSET MRT STATION,North South Line,Jurong East,609,2359,609,2359,634,2359
NS22,ORCHARD MRT STATION,North South Line,Jurong East,611,2,611,2,636,2
DT11-NS21,NEWTON MRT STATION,North South Line,Jurong East,559,4,613,4,620,4
NS20,NOVENA MRT STATION,North South Line,Jurong East,601,7,616,7,622,7
NS19,TOA PAYOH MRT STATION,North South Line,Jurong East,604,9,618,9,625,9
NS18,BRADDELL MRT STATION,North South Line,Jurong East,606,12,621,12,627,12
CC15-NS17,BISHAN MRT STATION,North South Line,Jurong East,608,14,623,14,629,14
NS16,ANG MO KIO MRT STATION,North South Line,Jurong East,517,18,517,18,540,18
NS15,YIO CHU KANG MRT STATION,North South Line,Jurong East,519,20,519,20,542,20
NS14,KHATIB MRT STATION,North South Line,Jurong East,524,26,524,26,547,26
NS13,YISHUN MRT STATION,North South Line,Jurong East,527,28,527,28,550,28
NS11,SEMBAWANG MRT STATION,North South Line,Jurong East,532,34,532,34,555,34
NS10,ADMIRALTY MRT STATION,North South Line,Jurong East,535,37,535,37,558,37
NS9,WOODLANDS MRT STATION,North South Line,Jurong East,538,40,538,40,601,40
NS8,MARSILING MRT STATION,North South Line,Jurong East,540,43,540,43,603,43
NS7,KRANJI MRT STATION,North South Line,Jurong East,543,45,543,45,606,45
NS5,YEW TEE MRT STATION,North South Line,Jurong East,537,50,537,50,600,50
NS4BP1,CHOA CHU KANG MRT STATION,North South Line,Jurong East,539,53,539,53,602,53
NS3,BUKIT GOMBAK MRT STATION,North South Line,Jurong East,543,57,543,57,606,57
NS2,BUKIT BATOK MRT STATION,North South Line,Jurong East,545,100,545,100,608,100
EW24-NS1,JURONG EAST MRT STATION,North South Line,Jurong East,-,-,-,-,-,-
EW24-NS1,JURONG EAST MRT STATION,North South Line,Marina South Pier,516,2246,516,2246,535,2246
NS2,BUKIT BATOK MRT STATION,North South Line,Marina South Pier,519,2249,519,2249,538,2249
NS3,BUKIT GOMBAK MRT STATION,North South Line,Marina South Pier,521,2251,521,2251,540,2251
NS4BP1,CHOA CHU KANG MRT STATION,North South Line,Marina South Pier,525,2256,525,2256,544,2256
NS5,YEW TEE MRT STATION,North South Line,Marina South Pier,527,2258,527,2258,546,2258
NS7,KRANJI MRT STATION,North South Line,Marina South Pier,522,2303,522,2303,538,2303
NS8,MARSILING MRT STATION,North South Line,Marina South Pier,524,2306,524,2306,540,2306
NS9,WOODLANDS MRT STATION,North South Line,Marina South Pier,527,2308,527,2308,543,2308
NS10,ADMIRALTY MRT STATION,North South Line,Marina South Pier,529,2311,529,2311,545,2311
NS11,SEMBAWANG MRT STATION,North South Line,Marina South Pier,533,2314,533,2314,549,2314
NS13,YISHUN MRT STATION,North South Line,Marina South Pier,524,2320,524,2320,554,2320
NS14,KHATIB MRT STATION,North South Line,Marina South Pier,526,2322,526,2322,557,2322
NS15,YIO CHU KANG MRT STATION,North South Line,Marina South Pier,531,2328,531,2328,602,2328
NS16,ANG MO KIO MRT STATION,North South Line,Marina South Pier,534,2331,534,2331,605,2331
CC15-NS17,BISHAN MRT STATION,North South Line,Marina South Pier,537,2334,537,2334,602,2334
NS18,BRADDELL MRT STATION,North South Line,Marina South Pier,539,2336,539,2336,604,2336
NS19,TOA PAYOH MRT STATION,North South Line,Marina South Pier,541,2339,541,2339,606,2339
