TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
5,TRAIN,CC22-EW21,2111,1462
6,TRAIN,CC22-EW21,11724,17365
7,TRAIN,CC22-EW21,23010,58315
8,TRAIN,CC22-EW21,24018,93044
9,TRAIN,CC22-EW21,12347,56984
10,TRAIN,CC22-EW21,9462,17344
11,TRAIN,CC22-EW21,14946,14112
12,TRAIN,CC22-EW21,20791,19161
13,TRAIN,CC22-EW21,20746,21999
14,TRAIN,CC22-EW21,19481,15714
15,TRAIN,CC22-EW21,26698,14220
16,TRAIN,CC22-EW21,33648,16156
17,TRAIN,CC22-EW21,72095,22991
18,TRAIN,CC22-EW21,93707,39685
19,TRAIN,CC22-EW21,47013,27741
20,TRAIN,CC22-EW21,26985,13429
21,TRAIN,CC22-EW21,22243,9770
22,TRAIN,CC22-EW21,18681,7830
23,TRAIN,CC22-EW21,5409,3760
0,TRAIN,CC22-EW21,255,666
5,TRAIN,CE1-DT16,974,3
6,TRAIN,CE1-DT16,5384,16781
7,TRAIN,CE1-DT16,9022,19027
8,TRAIN,CE1-DT16,9462,22350
9,TRAIN,CE1-DT16,5891,22945
10,TRAIN,CE1-DT16,6785,19191
11,TRAIN,CE1-DT16,9685,20038
12,TRAIN,CE1-DT16,11749,20342
13,TRAIN,CE1-DT16,12714,24074
14,TRAIN,CE1-DT16,14434,26046
15,TRAIN,CE1-DT16,20503,19878
16,TRAIN,CE1-DT16,22321,16784
17,TRAIN,CE1-DT16,27372,21119
18,TRAIN,CE1-DT16,34086,25631
19,TRAIN,CE1-DT16,25132,26447
20,TRAIN,CE1-DT16,41134,18192
21,TRAIN,CE1-DT16,37358,13802
22,TRAIN,CE1-DT16,32394,13104
23,TRAIN,CE1-DT16,22732,4041
0,TRAIN,CE1-DT16,851,390
5,TRAIN,CC15-NS17,5925,1288
6,TRAIN,CC15-NS17,40514,29488
7,TRAIN,CC15-NS17,90417,61207
8,TRAIN,CC15-NS17,113310,45069
9,TRAIN,CC15-NS17,52786,28016
10,TRAIN,CC15-NS17,31666,23693
11,TRAIN,CC15-NS17,32044,25581
12,TRAIN,CC15-NS17,36580,36044
13,TRAIN,CC15-NS17,43735,37915
14,TRAIN,CC15-NS17,43875,38638
15,TRAIN,CC15-NS17,41955,43983
16,TRAIN,CC15-NS17,45221,46750
17,TRAIN,CC15-NS17,64305,66845
18,TRAIN,CC15-NS17,80021,125233
19,TRAIN,CC15-NS17,55799,89935
20,TRAIN,CC15-NS17,35974,49759
21,TRAIN,CC15-NS17,34481,37790
22,TRAIN,CC15-NS17,20435,29019
23,TRAIN,CC15-NS17,6105,12947
0,TRAIN,CC15-NS17,570,1917
